distrito,nombre_via,lat_inicio,lon_inicio,lat_fin,lon_fin,longitud_metros,tiempo_estimado_min,tiempo_normal,tiempo_punta,tiempo_noche
Miraflores,Avenida Andrés Aramburú,-12.1035564,-77.0315022,-12.1033908,-77.0304618,114.73,0.23,0.23,0.34,0.18
Miraflores,Avenida Andrés Aramburú,-12.1033908,-77.0304618,-12.1032432,-77.029533,102.42,0.2,0.2,0.3,0.16
Miraflores,Avenida Paseo de la República,-12.1029558,-77.0276376,-12.1039123,-77.0276956,106.0,0.21,0.21,0.32,0.17
Miraflores,Vía Expresa Luis Fernán Bedoya Reyes,-12.1083987,-77.0265706,-12.1094991,-77.0264293,122.7,0.25,0.25,0.38,0.2
Miraflores,Vía Expresa Luis Fernán Bedoya Reyes,-12.1094991,-77.0264293,-12.1164098,-77.0262844,764.65,1.53,1.53,2.3,1.22
Miraflores,Avenida Arequipa,-12.104541,-77.0314969,-12.1051129,-77.0313966,64.2,0.13,0.13,0.2,0.1
Miraflores,Calle Gervasio Santillana,-12.104541,-77.0314969,-12.1045125,-77.0313377,17.62,0.04,0.04,0.06,0.03
Miraflores,Calle Santander,-12.105597,-77.0313189,-12.1057759,-77.0323178,110.53,0.22,0.22,0.33,0.18
Miraflores,Avenida Arequipa,-12.105597,-77.0313189,-12.1066639,-77.0311326,119.75,0.24,0.24,0.36,0.19
Miraflores,Avenida Arequipa,-12.1066639,-77.0311326,-12.1077457,-77.030951,121.29,0.24,0.24,0.36,0.19
Miraflores,Calle Los Ángeles,-12.1066639,-77.0311326,-12.1066389,-77.0309776,17.1,0.03,0.03,0.04,0.02
Miraflores,Calle Teruel,-12.1077457,-77.030951,-12.1078972,-77.0319506,110.1,0.22,0.22,0.33,0.18
Miraflores,Avenida Arequipa,-12.1077457,-77.030951,-12.1088013,-77.0307637,118.54,0.24,0.24,0.36,0.19
Miraflores,Avenida Arequipa,-12.1088013,-77.0307637,-12.1092321,-77.0306909,48.31,0.1,0.1,0.15,0.08
Miraflores,Avenida Arequipa,-12.1077209,-77.0308012,-12.1071577,-77.0308905,63.06,0.13,0.13,0.2,0.1
Miraflores,Calle Teruel,-12.1077209,-77.0308012,-12.1077457,-77.030951,16.54,0.03,0.03,0.04,0.02
Miraflores,Calle Sevilla,-12.1066389,-77.0309776,-12.1064802,-77.029948,113.45,0.23,0.23,0.34,0.18
Miraflores,Avenida Arequipa,-12.1066389,-77.0309776,-12.10559,-77.0311538,117.61,0.24,0.24,0.36,0.19
Miraflores,Avenida Arequipa,-12.10559,-77.0311538,-12.1050903,-77.0312404,56.08,0.11,0.11,0.16,0.09
